撤走	tiêg4 zao2
撤资	tiêg4 ze1
撤退	tiêg4 to3
撤消	tiêg4 sieu1
撤销	tiêg4 sieu1
撤换	tiêg4 uan7
车水马龙	cia1 zui2 bhê2 lêng5
车厢	cia1 siên1
车轮	cia1 lung5
车胎	cia1 to1
车间	cia1 goin1
车工	cia1 gang1
车床	cia1 ceng5
吵闹	cao1 nao6
嘲笑	cieu2 ciê3
嘲弄	cieu2 long6
潮菜	diê5 cai3
潮水	diê5 zui2
潮湿	diê5 sib4
潮流	diê5 liu5
潮解	diê5 goi2
朝政	cieu5 zêng3
朝野	cieu5 ia2
朝廷	cieu5 têng5
朝圣	cieu5 sian3
朝贡	cieu5 gong3
朝代	cieu5 do7
朝拜	cieu5 bai3
超支	tieu3 zin1
超人	tieu3 ring5
超龄	tieu3 lêng5
超过	tieu3 guê3
超等	tieu3 dêng2
超出	tieu3 cug4
抄送	cao1 sang3
抄作业	cao1 zag4 ngieb8
抄近路	cao1 geng6 lou7
抄袭	cao1 sib8
抄写	cao1 sia2
抄录	cao1 log8
抄本	cao1 bung2
畅所欲言	tiang3 so2 ain3 ngang5
畅想	tiang3 siên6
畅游	tiang3 iu5
畅销	tiang3 sieu1
畅快	tiang3 kuai3
畅谈	tiang3 tam5
畅通	tiang3 tong1
提前	ti5 zoin5
提示	ti5 si7
提供	ti5 gêng1
提出	ti5 cug4
提议	ti5 ngi2
提倡	ti5 ciang3
倡议	ciang3 ngi2
倡导	ciang3 dao6
唱针	ciang3 zam1
唱片	ciang3 piêng3
唱机	ciang3 gi1
作厂	zoh4 ciang2
厂工	ciang2 gang1
厂价	ciang2 gê3
厂牌	ciang2 bai5
厂区	ciang2 ku1
厂长	ciang2 ziang2
厂商	ciang2 siang1
厂家	ciang2 gê1
场面	diên5 ming7
场合	diên5 hah8
肠炎	deng5 iem7
长途	ciang5 tu5
长时间	ciang5 si5 gang1
长安	ciang5 ang1
长袖善舞	ciang5 siu3 siêng6 bhu2
长驱直入	ciang5 ku1 dig8 rib8
长年累月	ciang5 ni5 lui2 ghuêh8
长期	ciang5 ki5
长工	deng5 gang1
常态	siên5 tai3
常数	siên5 sieu3
常识	siên5 sêg4
常情	siên5 cêng5
尝试	siang5 ci3
昌平	ciang1 pêng5
娼妓	ciang1 gi6
昌盛	ciang1 sêng6
产能	suan2 lêng5
产权	suan2 kuêng5
产量	suan2 liang6
产物	suan2 muêh8
产生	suan2 sên1
产品	suan2 bing2
产科	suan2 kuê1
产业	suan2 ngieb8
产地	suan2 di7
蝉联	siem5 liêng5
禅意	siem5 i3
禅修	siem5 siu1
禅宗	siem5 zong1
禅寺	siem5 ri7
禅师	siem5 se1
禅房	siem5 bang5
车租路费	cia1 zou1 lou7 hui3
柴米油盐	ca5 bhi2 iu5 iem5
拆字	tiah4 ri7
出差	cug4 cê1
差事	cê1 se7
查字	cê5 ri7
查询	cê5 sung5
查验	cê5 ngiem7
查收	cê5 siu1
查问	cê5 mung7
查究	cê5 giu3
茶水	dê5 zui2
茶油	dê5 iu5
茶几	dê5 gi2
茶房	dê5 bang5
茶服	dê5 hog8
茶室	dê5 sig4
渤海	buêg8 hai2
北海	bag4 hai2
南海	lam5 hai2
东海	dang1 hai2
龙王	lêng5 uang5
白马	bêh8 bhê2
白马	buah8 bhê2
茶叶罐	dê5 hiêh8 guêng3
茶米㼦	dê5 hiêh8 gong2
茶匙	dê5 si5
茶炉	dê5 lou5
茶花	dê5 huê1
插喙	cab4 cui3
插手	cab4 ciu2
插曲	cah4 kêg4
插花	cah4 huê1
插班	cah4 bang1
参差不齐	cam1 ca1 bug4 ci5
策反	cêh4 huêng2
策略	cêh4 liag8
策励	cêh4 li6
策动	cêh4 dong6
策划	cêh4 uêh8
厕所	cê3 so2
测字	cêg4 ri7
测速	cêg4 sog4
测算	cêg4 seng3
测验	cêg4 ngiem7
测评	cêg4 pêng5
测试	cêg4 ci3
测定	cêg4 dian7
测量	cêg4 liang5
草菅人命	cao2 gang1 nang5 mian7
草书	co2 ze1
草帽	cao2 bho7
草本	cao2 bung2
ngiag8囝	ngiang8 gian2
niag8虫	ngiag8 tang5
新年	sing1 ni5
晚上好	mung2 ziên7 ho2
桑sui5	seng1 sui5
除人	de5 nang5
调皮猴dang6	tieu5 pi5 gao5 dang6
ngiag8	ngiang8
起草	ki2 co2
草略	co2 liag8
草案	co2 uan3
操盘	cao1 buan5
操纵	cao1 zong3
操作系统	cao1 zag4 hi6 tong2
操心	cao1 sim1
操控	cao1 kong3
操作	cao1 zag4
操行	cao1 hêng6
藏龙卧虎	cang5 lêng5 o6 houn2
藏拙	cang5 zuêg4
藏书	cang5 ze1
舱位	ceng1 ui7
苍天	cang1 tiêng1
沧海一粟	cang1 hai2 zêg8 cêg4
仓库	ceng1 kou3
惨无人道	cam2 bho5 nang5 dao6
惨淡经营	cam2 dan6 gêng1 ian5
惨败	cam2 bai7
惨重	cam2 dong6
惨叫	cam2 giê3
残留	cang5 liu5
残疾	cang5 zib8
残酷	cang5 kog4
残疾人	cang5 zib8 nang5
残件	cang5 gian6
残忍	cang5 rim2
残缺	cang5 kuêh4
残废	cang5 hui3
残喘	cang5 cuêng2
蚕食鲸吞	coin5 ziah8 kêng5 tung1
惭愧	cam5 kui6
参展	cam1 diêng2
参会	cam1 huê6
参谋	cam1 mou5
参赛	cam1 sai3
参考	cam1 kao2
参照	cam1 ziê3
参与	cam1 e2
参加	cam1 gia1
餐盘	cang1 buan5
餐饮	cang1 im2
餐桌	cang1 doh4
餐具	cang1 gu6
餐巾	cang1 geng1
餐车	cang1 cia1
彩排	cai2 bai5
彩色	cai2 sêg4
彩票	cai2 piê3
采取	cai2 cu2
采集	cai2 zib8
采用	cai2 êng7
采纳	cai2 nab8
采购	cai2 gou3
采访	cai2 huang2
财神爷	cai5 sing5 ia5
财政	cai5 zêng3
财务	cai5 bhu6
财神	cai5 sing5
财团	cai5 tuêng5
才疏学浅	cai5 so1 hag8 ciêng2
才高八斗	cai5 gao1 boih4 dao2
才子	cai5 ze2
才学	cai5 hag8
才干	cai5 gang3
裁判	cai5 puêng3
裁员	cai5 uêng5
裁军	cai5 gung1
裁剪	cai5 ziêng2
猜疑	cai1 ghi5
猜谜	cai1 mi6
猜忌	cai1 gi6
猜测	cai1 cêg4
簿记	pou6 gi3
步骤	bou7 zou6
